#{"t_start": 1575120695.6702447, "env_id": "Taxi-v3"}
r,l,t
-218,200,173.388689
14,7,173.419946
6,15,173.466818
3,18,173.535832
-227,200,174.237666
0,12,174.268916
9,12,174.322305
7,14,174.369178
6,15,174.422567
3,18,174.491572
-209,200,175.193405
-200,200,175.91064
7,14,175.957512
5,16,176.0109
0,12,176.057771
9,12,176.095539
4,17,176.158045
4,17,176.211434
8,13,176.258311
2,19,176.32732
-209,200,177.029169
6,15,177.091669
6,15,177.145056
2,19,177.19844
10,11,177.245322
-102,123,177.661842
-52,73,177.915793
-209,200,178.617621
13,8,178.648869
6,15,178.702246
4,17,178.764749
9,12,178.802505
9,12,178.849383
5,16,178.902763
4,17,178.965265
10,11,179.00302
8,13,179.049897
6,15,179.10328
2,19,179.165784
13,8,179.203537
9,12,179.25042
7,14,179.297291
7,14,179.335052
8,13,179.381924
9,12,179.419691
4,17,179.482189
-200,200,180.168399
2,19,180.237411
8,13,180.268661
10,11,180.306416
11,10,180.353295
-19,40,180.484802
9,12,180.522567
5,16,180.58506
-4,16,180.638447
10,11,180.669695
7,14,180.72309
-218,200,181.409294
14,7,181.440553
-9,21,181.509553
-209,200,182.27389
9,12,182.311647
9,12,182.358529
3,18,182.411909
-4,16,182.474412
9,12,182.51217
5,16,182.574676
7,14,182.612428
7,14,182.662769
-209,200,183.376725
5,16,183.430114
7,14,183.476986
5,16,183.530374
0,12,183.577246
8,13,183.630633
10,11,183.677505
7,14,183.730894
8,13,183.777766
-200,200,184.648906
9,12,184.711402
6,15,184.764802
-236,200,185.635935
7,14,185.698433
8,13,185.751832
5,16,185.807028
6,15,185.867529
10,11,185.898775
7,14,185.943117
11,10,185.989989
7,14,186.051879
8,13,186.098751
12,9,186.136525
10,11,186.199019
12,9,186.236787
6,15,186.299284
-183,195,187.023252
-209,200,187.725084
7,14,187.771965
1,20,187.840976
5,16,187.887848
4,17,187.956859
8,13,188.00373
9,12,188.041493
10,11,188.072741
14,7,188.103988
9,12,188.141753
5,16,188.188623
-4,16,188.25764
4,17,188.320135
5,16,188.373534
10,11,188.404782
8,13,188.45817
-3,15,188.505042
4,17,188.558427
8,13,188.605299
9,12,188.643061
0,21,188.727694
4,17,188.774574
1,11,188.821445
6,15,188.87483
4,17,188.928212
9,12,188.975093
-140,152,189.492031
-21,42,189.630047
7,14,189.676929
7,14,189.730306
6,15,189.777184
9,12,189.824055
7,14,189.877442
13,8,189.893066
9,12,189.946449
-1,13,189.977698
8,13,190.031083
8,13,190.077962
7,14,190.124836
-218,200,190.811036
10,11,190.848798
10,11,190.895671
6,15,190.949062
12,9,190.980313
5,16,191.033688
9,12,191.064945
8,13,191.111817
8,13,191.165212
6,15,191.212084
7,14,191.265471
9,12,191.312343
4,17,191.365733
7,14,191.412606
4,17,191.465993
5,16,191.528488
5,16,191.581879
-3,15,191.635261
5,16,191.697765
11,10,191.751154
13,8,191.782403
7,14,191.85141
-3,15,191.898283
5,16,191.982937
6,15,192.036301
6,15,192.098806
6,15,192.152199
8,13,192.199071
11,10,192.236825
9,12,192.283703
6,15,192.337084
10,11,192.368344
3,18,192.437347
9,12,192.484226
4,17,192.537608
10,11,192.584506
6,15,192.637867
4,17,192.704057
7,14,192.753443
10,11,192.800315
-37,58,193.016475
-6,18,193.069864
3,18,193.138872
7,14,193.201376
8,13,193.239134
-169,190,193.93447
9,12,193.972234
4,17,194.041244
6,15,194.088125
3,18,194.157135
9,12,194.204007
-14,17,194.257401
10,11,194.304274
6,15,194.357662
5,16,194.404532
6,15,194.457919
12,9,194.489171
6,15,194.54255
9,12,194.58943
-1,13,194.642813
10,11,194.67407
4,17,194.743071
9,12,194.78995
7,14,194.843344
9,12,194.874602
13,8,194.905848
5,16,194.959248
0,12,195.006119
-27,48,195.175395
5,16,195.244397
-156,177,195.877214
5,16,195.924084
12,9,195.961849
-9,21,196.039968
9,12,196.077735
11,10,196.108983
10,11,196.162383
6,15,196.209253
8,13,196.24701
3,18,196.32514
7,14,196.362908
9,12,196.409779
1,20,196.478797
