#{"t_start": 1575120695.6702447, "env_id": "Taxi-v3"}
r,l,t 
8,13,319.151303
8,13,319.20468
4,17,319.251558
4,17,319.320574
11,10,319.351819
12,9,319.398691
6,15,319.467712
6,15,319.521099
6,15,319.567971
10,11,319.605731
13,8,319.636987
5,16,319.683859
6,15,319.737243
5,16,319.806252
10,11,319.837508
5,16,319.900002
7,14,319.937765
8,13,319.984637
7,14,320.038032
9,12,320.06928
7,14,320.122674
6,15,320.169545
3,18,320.238559
7,14,320.285432
10,11,320.323197
8,13,320.370068
7,14,320.407827
12,9,320.439082
5,16,320.508085
-6,18,320.570588
4,17,320.62398
8,13,320.670848
-6,18,320.739865
10,11,320.771109
-3,15,320.840133
11,10,320.871373
8,13,320.924763
8,13,320.95601
10,11,321.002882
-4,16,321.056273
9,12,321.103145
7,14,321.140912
7,14,321.187782
5,16,321.241171
7,14,321.288045
7,14,321.341431
10,11,321.388304
12,9,321.410437
6,15,321.457317
9,12,321.5107
8,13,321.541958
10,11,321.588832
11,10,321.626595
4,17,321.689089
8,13,321.727867
10,11,321.759122
-3,15,321.811502
7,14,321.858384
9,12,321.911761
9,12,321.943016
6,15,321.989887
10,11,322.027654
6,15,322.09015
5,16,322.143538
6,15,322.19041
3,18,322.259422
9,12,322.290671
8,13,322.34406
9,12,322.375308
-4,16,322.428699
14,7,322.459946
9,12,322.491194
8,13,322.544584
10,11,322.575836
5,16,322.629226
10,11,322.660472
10,11,322.713856
9,12,322.745113
7,14,322.791985
11,10,322.829752
5,16,322.892244
4,17,322.945633
9,12,322.976886
5,16,323.030278
10,11,323.077151
4,17,323.130546
10,11,323.161794
9,12,323.215173
12,9,323.246428
7,14,323.2933
10,11,323.331069
8,13,323.37794
3,18,323.431327
4,17,323.493824
8,13,323.547211
4,17,323.609713
9,12,323.647477
1,11,323.69435
11,10,323.716486
3,18,323.794613
7,14,323.848003
6,15,323.894872
8,13,323.948263
15,6,323.963884
5,16,324.017262
12,9,324.048517
9,12,324.09539
2,19,324.1644
7,14,324.217777
7,14,324.264663
8,13,324.318045
0,12,324.364926
10,11,324.411796
7,14,324.449559
7,14,324.512059
7,14,324.549824
6,15,324.612318
6,15,324.66572
6,15,324.7191
8,13,324.765984
12,9,324.797227
9,12,324.834993
6,15,324.89749
11,10,324.935257
3,18,324.997752
10,11,325.035532
8,13,325.098025
6,15,325.151417
8,13,325.198289
9,12,325.236052
10,11,325.282924
8,13,325.320684
10,11,325.367567
4,17,325.436585
3,18,325.499081
7,14,325.55247
5,16,325.62332
7,14,325.659777
4,17,325.736794
9,12,325.783668
1,20,325.868304
8,13,325.921695
5,16,325.984197
8,13,326.037588
1,20,326.100084
9,12,326.153475
9,12,326.184722
9,12,326.238122
7,14,326.284989
7,14,326.338383
7,14,326.385251
6,15,326.43864
9,12,326.485509
9,12,326.538894
12,9,326.570142
6,15,326.623521
10,11,326.654777
6,15,326.723783
11,10,326.755039
6,15,326.817535
7,14,326.870925
14,7,326.886551
8,13,326.939938
9,12,326.986811
6,15,327.0402
-17,20,327.118321
3,18,327.171713
9,12,327.225089
7,14,327.271972
8,13,327.325352
6,15,327.387854
6,15,327.441249
8,13,327.488112
8,13,327.541502
9,12,327.572749
7,14,327.626132
3,18,327.70426
14,7,327.726397
6,15,327.777644
8,13,327.842155
8,13,327.889027
10,11,327.94241
3,18,328.00491
4,17,328.089543
12,9,328.1273
2,19,328.227563
7,14,328.290067
12,9,328.343464
5,16,328.421582
11,10,328.474972
4,17,328.559608
12,9,328.606479
10,11,328.675496
9,12,328.738984
6,15,328.811496
5,16,328.896144
2,19,328.980784
11,10,329.027655
5,16,329.127918
9,12,329.181314
9,12,329.243812
8,13,329.297202
11,10,329.350581
6,15,329.413088
7,14,329.482111
-7,19,329.566751
9,12,329.629247
0,21,329.729515
2,19,329.81415
3,18,329.883163
6,15,329.9605
9,12,330.001762
4,17,330.051643
8,13,330.112094
1,20,330.198737
13,8,330.229986
10,11,330.283372
4,17,330.352386
7,14,330.414892
5,16,330.483904
-3,15,330.552918
10,11,330.599798
5,16,330.653176
3,18,330.715682
4,17,330.784692
7,14,330.831563
6,15,330.88495
7,14,330.931822
10,11,330.969592
6,15,331.032086
10,11,331.069859
9,12,331.116729
6,15,331.170117
10,11,331.216991
8,13,331.270408
5,16,331.317279
0,21,331.401916
9,12,331.43317
7,14,331.486551
7,14,331.549046
7,14,331.58681
7,14,331.649309
5,16,331.702707
3,18,331.756087
10,11,331.802971
9,12,331.849841
9,12,331.887611
7,14,331.93448
3,18,332.003491
7,14,332.056872
5,16,332.119374
6,15,332.172761
3,18,332.257394
8,13,332.319898
15,6,332.351147
7,14,332.404538
6,15,332.473551
8,13,332.520423
14,7,332.536047
9,12,332.57381
4,17,332.636309
10,11,332.689694
4,17,332.736565
4,17,332.794373
7,14,332.841247
7,14,332.905755
11,10,332.937002
11,10,332.959134
2,19,333.037261
2,19,333.090654
10,11,333.137523
8,13,333.175291
-6,18,333.237787
12,9,333.275557
6,15,333.322428
7,14,333.360185
10,11,333.407064
11,10,333.438313
6,15,333.491696
6,15,333.538569
4,17,333.591958
9,12,333.63883
11,10,333.676603
7,14,333.723476
-5,17,333.776863
9,12,333.823734
10,11,333.86149
10,11,333.892745
0,12,333.939618
1,20,334.008628
14,7,334.024251
10,11,334.062011
2,19,334.14014
8,13,334.177908
8,13,334.224779
5,16,334.278167
5,16,334.34066
6,15,334.394052
4,17,334.463053
-2,14,334.509931
12,9,334.54118
6,15,334.610193
7,14,334.657065
-4,16,334.710456
3,18,334.763831
7,14,334.810715
8,13,334.864093
9,12,334.895347
11,10,334.926594
13,8,334.96435
-6,18,335.026857
7,14,335.064607
6,15,335.127114
8,13,335.164876
6,15,335.211756
7,14,335.265136
2,19,335.32764
3,18,335.396651
9,12,335.427902
9,12,335.465655
12,9,335.496916
-1,13,335.543786
8,13,335.597176
8,13,335.628419
8,13,335.681816
5,16,335.728691
4,17,335.797698
8,13,335.828948
10,11,335.866702
5,16,335.929208
11,10,335.966968
4,17,336.013847
11,10,336.060718
12,9,336.098486
7,14,336.145353
9,12,336.183117
7,14,336.229989
8,13,336.283379
-2,14,336.330251
8,13,336.368009
6,15,336.430514
8,13,336.48391
8,13,336.5464
10,11,336.5998
7,14,336.668847
14,7,336.700102
7,14,336.769109
1,20,336.847237
-13,16,336.93189
9,12,336.985296
7,14,337.069921
5,16,337.170183
2,19,337.27046
6,15,337.3486
6,15,337.417614
10,11,337.464484
1,20,337.54912
3,18,337.633798
7,14,337.702824
2,19,337.78997
11,10,337.83685
9,12,337.903361
5,16,337.965857
7,14,338.019247
8,13,338.066118
15,6,338.088256
9,12,338.119505
9,12,338.172885
13,8,338.204143
6,15,338.273145
10,11,338.304399
7,14,338.351272
6,15,338.404662
12,9,338.435913
7,14,338.489303
5,16,338.5518
6,15,338.605189
6,15,338.652058
6,15,338.705445
10,11,338.752315
10,11,338.790078
0,12,338.83695
-4,16,338.890337
4,17,338.952833
9,12,338.990597
3,18,339.053093
5,16,339.106479
9,12,339.153351
-6,18,339.206739
4,17,339.275739
11,10,339.306993
5,16,339.375997
9,12,339.407254
10,11,339.454124
5,16,339.507521
10,11,339.53877
5,16,339.607781
6,15,339.654652
8,13,339.692422
-7,19,339.77054
5,16,339.82393
4,17,339.877314
-5,17,339.939817
4,17,339.993206
5,16,340.055702
9,12,340.093467
12,9,340.124712
2,19,340.193732
9,12,340.240602
10,11,340.278357
8,13,340.325236
8,13,340.372109
6,15,340.425494
5,16,340.478874
10,11,340.51013
4,17,340.579137
11,10,340.610391
15,6,340.641641
11,10,340.679399
-1,13,340.726283
8,13,340.773152
6,15,340.826544
5,16,340.879925
4,17,340.942427
9,12,340.980186
7,14,341.027067
4,17,341.096081
3,18,341.158576
-1,13,341.196341
4,17,341.258839
11,10,341.296596
7,14,341.343471
6,15,341.396856
9,12,341.459369
7,14,341.512739
9,12,341.543988
7,14,341.597377
7,14,341.644249
6,15,341.697638
1,20,341.782264
7,14,341.829143
10,11,341.86039
5,16,341.929404
10,11,341.960651
4,17,342.029667
-11,14,342.076539
9,12,342.114309
8,13,342.161179
10,11,342.198951
2,19,342.261449
12,9,342.299212
12,9,342.330465
7,14,342.383846
6,15,342.430728
8,13,342.484108
8,13,342.53099
10,11,342.562239
9,12,342.600009
2,19,342.678126
6,15,342.731518
9,12,342.762766
7,14,342.81616
8,13,342.863033
12,9,342.900798
7,14,342.94767
9,12,342.985426
10,11,343.032305
8,13,343.085688
3,18,343.148192
6,15,343.20158
8,13,343.248452
-3,15,343.286219
2,19,343.364346
11,10,343.402116
10,11,343.433364
-15,18,343.502376
7,14,343.549251
8,13,343.602634
11,10,343.633881
7,14,343.687265
9,12,343.718524
9,12,343.765396
4,17,343.818795
5,16,343.88129
9,12,343.919055
5,16,343.988066
-5,17,344.066194
4,17,344.135206
11,10,344.18859
5,16,344.251098
5,16,344.32012
12,9,344.366988
2,19,344.436005
3,18,344.520644
3,18,344.589651
10,11,344.636531
6,15,344.721174
14,7,344.75242
9,12,344.805822
11,10,344.852692
9,12,344.906087
5,16,344.968582
10,11,345.006351
10,11,345.06885
6,15,345.122243
4,17,345.191247
5,16,345.269373
7,14,345.322766
6,15,345.391773
6,15,345.438656
7,14,345.507669
7,14,345.570165
7,14,345.623554
2,19,345.707893
14,7,345.72352
10,11,345.770389
-4,16,345.827249
11,10,345.874123
10,11,345.92402
10,11,345.970891
5,16,346.03991
9,12,346.093298
10,11,346.140179
6,15,346.209193
-6,18,346.28731
8,13,346.325076
2,19,346.394082
5,16,346.456584
4,17,346.525602
5,16,346.572477
3,18,346.641486
7,14,346.694865
7,14,346.741747
10,11,346.795127
8,13,346.84201
6,15,346.895389
-1,13,346.942269
5,16,347.011284
3,18,347.07378
-8,20,347.142791
3,18,347.211804
4,17,347.2743
3,18,347.343309
7,14,347.39018
9,12,347.427958
5,16,347.490454
10,11,347.528223
4,17,347.575094
8,13,347.628483
9,12,347.675352
9,12,347.713118
8,13,347.759991
4,17,347.817268
8,13,347.864142
11,10,347.897397
-3,15,347.9599
4,17,348.01329
11,10,348.044535
9,12,348.097919
10,11,348.129174
8,13,348.176048
13,8,348.198183
8,13,348.245061
5,16,348.298444
5,16,348.360951
7,14,348.414339
8,13,348.461212
5,16,348.514602
10,11,348.561477
5,16,348.614865
6,15,348.661737
6,15,348.715127
5,16,348.777623
6,15,348.81539
8,13,348.862264
10,11,348.900017
5,16,348.962522
10,11,349.000275
4,8,349.031532
8,13,349.078408
-1,13,349.131792
11,10,349.163039
7,14,349.200793
-7,19,349.278922
5,16,349.33231
3,18,349.40132
9,12,349.448204
8,13,349.517224
11,10,349.54847
9,12,349.595341
9,12,349.633108
5,16,349.695609
9,12,349.733383
4,17,349.795878
8,13,349.833641
3,18,349.902645
7,14,349.949532
4,17,350.018556
14,7,350.049805
6,15,350.10318
7,14,350.150058
4,17,350.203439
6,15,350.250318
6,15,350.303698
4,17,350.366202
10,11,350.403958
7,14,350.466471
9,12,350.50423
3,18,350.566732
9,12,350.60449
6,15,350.666997
6,15,350.704748
10,11,350.751627
14,7,350.767251
10,11,350.820645
4,17,350.867516
12,9,350.905273
8,13,350.952152
7,14,351.005535
7,14,351.052414
8,13,351.105797
11,10,351.137055
5,16,351.183927
4,17,351.25294
-2,14,351.299813
10,11,351.337581
11,10,351.36883
10,11,351.406585
8,13,351.453466
12,9,351.484713
2,19,351.553725
7,14,351.607103
6,15,351.653982
5,16,351.722992
12,9,351.754241
6,15,351.807618
13,8,351.838871
13,8,351.870119
6,15,351.923504
11,10,351.954752
7,14,352.008138
9,12,352.039397
11,10,352.086268
8,13,352.124074
4,17,352.18657
3,18,352.239955
6,15,352.302455
13,8,352.324599
9,12,352.371465
5,16,352.424854
7,14,352.471724
9,12,352.509482
13,8,352.540741
3,18,352.603235
13,8,352.625374
7,14,352.672249
11,10,352.710004
9,12,352.756884
10,11,352.800404
8,13,352.841309
8,13,352.888181
9,12,352.925945
-2,14,352.972817
5,16,353.04183
2,19,353.110832
-1,13,353.142087
5,16,353.211096
7,14,353.257981
9,12,353.289226
2,19,353.358248
7,14,353.411628
9,12,353.459791
6,15,353.511673
10,11,353.546452
7,14,353.608947
6,15,353.658844
4,8,353.690092
10,11,353.727858
4,17,353.790356
8,13,353.828116
12,9,353.859364
5,16,353.91275
10,11,353.959632
10,11,353.990878
5,16,354.059921
6,15,354.113301
6,15,354.16018
8,13,354.213568
9,12,354.260448
6,15,354.313831
2,19,354.376338
7,14,354.429726
7,14,354.476598
8,13,354.514352
3,18,354.576854
8,13,354.630254
9,12,354.677121
8,13,354.714878
8,13,354.761762
9,12,354.815137
12,9,354.846396
14,7,354.862017
9,12,354.915406
7,14,354.962292
-6,18,355.015678
8,13,355.062563
8,13,355.11594
7,14,355.162819
4,17,355.231834
6,15,355.278706
5,16,355.3321
-2,14,355.394596
10,11,355.432358
4,17,355.494857
9,12,355.532621
5,16,355.595116
9,12,355.632876
13,8,355.664124
7,14,355.710997
1,20,355.780011
5,16,355.835099
6,15,355.881978
9,12,355.933363
13,8,355.964612
7,14,356.011483
10,11,356.049247
7,14,356.096117
6,15,356.149506
11,10,356.180755
-2,14,356.23415
11,10,356.281022
4,17,356.33441
12,9,356.365658
3,18,356.434708
11,10,356.481582
5,16,356.535006
9,12,356.581877
9,12,356.619636
7,14,356.682142
7,14,356.735533
12,9,356.766783
10,11,356.798028
4,17,356.867049
4,17,356.920465
7,14,356.967345
8,13,357.020724
8,13,357.067604
5,16,357.120989
10,11,357.167868
8,13,357.199119
10,11,357.252504
3,18,357.314998
10,11,357.352762
12,9,357.384011
10,11,357.421806
7,14,357.468686
5,16,357.522068
7,14,357.584573
4,17,357.642341
4,17,357.704837
8,13,357.753726
6,15,357.803571
8,13,357.853963
7,14,357.900832
-2,14,357.95422
4,17,358.001092
5,16,358.070109
-3,15,358.123494
6,15,358.170373
11,10,358.201623
15,6,358.223755
6,15,358.286259
7,14,358.324016
9,12,358.370897
-4,16,358.424277
11,10,358.471162
4,17,358.524543
5,16,358.587048
6,15,358.640444
12,9,358.671693
14,7,358.702938
7,14,358.740703
10,11,358.787575
11,10,358.825328
7,14,358.872208
5,16,358.925592
7,14,358.972478
8,13,359.02586
7,14,359.072738
9,12,359.119611
7,14,359.173002
8,13,359.219873
3,18,359.273262
4,17,359.342277
13,8,359.373522
8,13,359.420393
10,11,359.458156
-3,15,359.505028
4,17,359.574042
10,11,359.605291
2,19,359.674314
7,14,359.727694
-2,14,359.774576
-3,15,359.827959
7,14,359.890462
9,12,359.928221
6,15,359.990725
3,18,360.05974
5,16,360.144379
8,13,360.206878
7,14,360.260266
11,10,360.307135
4,17,360.391769
8,13,360.445166
14,7,360.476415
9,12,360.529792
-7,19,360.630056
10,11,360.676938
9,12,360.73032
9,12,360.792828
7,14,360.861841
3,18,360.962108
10,11,361.008981
9,12,361.062376
5,16,361.131384
2,19,361.231652
8,13,361.278532
9,12,361.347558
5,16,361.425674
3,18,361.494692
8,13,361.563711
6,15,361.632716
10,11,361.679599
7,14,361.764247
9,12,361.826738
9,12,361.86729
5,16,361.914181
14,7,361.948947
-6,18,362.024523
7,14,362.08041
11,10,362.127283
9,12,362.18068
7,14,362.234061
9,12,362.31219
10,11,362.349958
9,12,362.412454
5,16,362.481472
3,18,362.550499
12,9,362.581747
6,15,362.635132
-5,17,362.697642
7,14,362.735399
-3,15,362.797907
-4,16,362.866922
10,11,362.89817
7,14,362.951559
7,14,362.998437
3,18,363.051822
8,13,363.098692
4,17,363.167706
-3,15,363.214575
6,15,363.267964
-2,14,363.330455
9,12,363.368224
6,15,363.415096
9,12,363.452859
9,12,363.499731
6,15,363.553128
6,15,363.615623
-4,16,363.669017
-2,14,363.715886
11,10,363.753653
8,13,363.800525
4,17,363.85392
-2,14,363.900793
11,10,363.938549
8,13,363.985428
5,16,364.03881
8,13,364.085698
8,13,364.139081
4,17,364.185961
4,17,364.254973
7,14,364.317471
2,19,364.38648
11,10,364.439862
7,14,364.502366
9,12,364.555758
8,13,364.587006
9,12,364.640388
2,19,364.702891
11,10,364.740647
8,13,364.787528
10,11,364.818776
10,11,364.85654
5,16,364.919035
9,12,364.972423
4,17,365.019295
6,15,365.072681
9,12,365.119554
5,16,365.17295
8,13,365.219825
3,18,365.304464
14,7,365.335711
9,12,365.373476
10,11,365.420347
-3,15,365.473736
-8,20,365.542738
9,12,365.589619
7,14,365.636488
-6,18,365.705499
11,10,365.743257
9,12,365.774516
4,17,365.84352
4,17,365.906024
9,12,365.943781
1,20,366.02191
-5,17,366.075296
-6,18,366.144301
3,18,366.206806
6,15,366.260206
-5,17,366.322698
3,18,366.376091
10,11,366.422963
8,13,366.460726
4,17,366.523222
11,10,366.560988
7,14,366.607859
4,17,366.661249
2,19,366.739369
15,6,366.761515
7,14,366.808387
11,10,366.846143
8,13,366.893022
9,12,366.939894
-7,19,367.008904
8,13,367.062289
6,15,367.109161
10,11,367.146919
14,7,367.178176
7,14,367.225047
11,10,367.262811
4,17,367.309683
5,16,367.363077
-2,14,367.425576
3,18,367.478958
7,14,367.525832
2,19,367.594842
8,13,367.641717
11,10,367.679487
4,17,367.74198
3,18,367.795377
9,12,367.845807
11,10,367.880073
7,14,367.926947
7,14,367.964713
7,14,368.011585
8,13,368.064979
10,11,368.096228
8,13,368.149607
5,16,368.212112
3,18,368.265499
8,13,368.312368
13,8,368.350124
9,12,368.381382
4,17,368.450386
12,9,368.466017
5,16,368.528514
8,13,368.581902
7,14,368.628773
7,14,368.682165
10,11,368.729037
6,15,368.766802
3,18,368.829299
8,13,368.882689
-5,17,368.945186
10,11,368.982952
2,19,369.051963
9,12,369.08322
2,19,369.152226
8,13,369.199107
13,8,369.230354
-4,16,369.283745
-6,18,369.352751
9,12,369.384008
4,17,369.453011
7,14,369.499893
4,17,369.553276
10,11,369.600156
5,16,369.653345
5,16,369.715851
9,12,369.753618
9,12,369.784873
7,14,369.847372
5,16,369.900767
11,10,369.932015
9,12,369.969779
7,14,370.016647
14,7,370.054407
-7,19,370.116912
11,10,370.15467
7,14,370.201549
8,13,370.248421
9,12,370.28619
8,13,370.333062
13,8,370.355196
10,11,370.402075
6,15,370.455454
0,12,370.502333
8,13,370.533584
8,13,370.586968
10,11,370.618216
11,10,370.655974
6,15,370.71848
9,12,370.756234
5,16,370.818742
13,8,370.849987
10,11,370.887753
7,14,370.934623
9,12,370.988009
5,16,371.034882
9,12,371.07265
8,13,371.135139
9,12,371.172908
12,9,371.204158
6,15,371.273169
9,12,371.304417
1,20,371.389057
5,16,371.435929
15,6,371.458064
-6,18,371.520567
7,14,371.573961
14,7,371.589585
4,17,371.658591
7,14,371.721093
5,16,371.774481
12,9,371.805728
7,14,371.85911
9,12,371.905989
6,15,371.959372
12,9,371.99063
9,12,372.037501
3,18,372.106513
4,17,372.159893
13,8,372.191152
6,15,372.238023
5,16,372.307053
10,11,372.338299
10,11,372.391687
10,11,372.422933
9,12,372.476324
6,15,372.523194
8,13,372.560954
5,16,372.623467
7,14,372.676853
-4,16,372.73935
7,14,372.777113
-5,17,372.846074
-2,14,372.892843
13,8,372.924091
4,17,372.97748
14,7,373.008728
5,16,373.062103
7,14,373.108982
10,11,373.162364
5,16,373.209243
8,13,373.262622
4,17,373.340747
11,10,373.378518
-1,13,373.425388
8,13,373.463143
11,10,373.510022
13,8,373.525646
6,15,373.57904
1,20,373.663671
-6,18,373.726176
6,15,373.779566
5,16,373.842057
8,13,373.879823
8,13,373.926698
1,11,373.964451
2,10,374.011331
5,16,374.064712
5,16,374.111596
11,10,374.158466
6,15,374.211861
7,14,374.26524
-1,13,374.312119
10,11,374.343367
6,15,374.396758
2,19,374.465771
10,11,374.497027
5,16,374.566031
9,12,374.597286
6,15,374.659781
6,15,374.713167
11,10,374.744416
9,12,374.782184
4,17,374.844682
10,11,374.882446
6,15,374.944942
4,17,374.998327
11,10,375.029573
-3,15,375.082966
7,14,375.145466
4,17,375.198851
3,18,375.267854
14,7,375.283486
-8,20,375.368115
8,13,375.399371
7,14,375.461865
10,11,375.49963
8,13,375.546501
6,15,375.599888
13,8,375.631133
4,17,375.684522
11,10,375.73139
6,15,375.784779
7,14,375.831652
10,11,375.869408
2,10,375.900662
9,12,375.947536
3,18,376.016551
11,10,376.069929
4,17,376.148057
5,16,376.217076
10,11,376.270453
5,16,376.38635
11,10,376.448847
9,12,376.502234
4,17,376.571239
8,13,376.633744
10,11,376.702758
12,9,376.749631
11,10,376.818655
-6,18,376.934545
5,16,377.019182
10,11,377.072564
9,12,377.135069
0,12,377.204089
11,10,377.250957
10,11,377.304348
2,19,377.388988
-2,23,377.504877
10,11,377.551746
5,16,377.620763
7,14,377.689777
5,16,377.790082
-3,15,377.86177
10,11,377.905539
12,9,377.974547
4,17,378.068298
-2,14,378.135749
3,18,378.190303
7,14,378.255851
8,13,378.321445
5,16,378.39047
9,12,378.437335
11,10,378.490724
9,12,378.537598
4,17,378.622236
3,18,378.706882
2,10,378.753748
4,17,378.822759
7,14,378.876141
2,19,378.95427
5,16,379.007657
12,9,379.054525
9,12,379.092296
6,15,379.154792
12,9,379.176923
8,13,379.223803
5,16,379.277186
7,14,379.339688
12,9,379.37748
2,19,379.455612
13,8,379.477741
3,18,379.540244
7,14,379.60926
9,12,379.656131
4,17,379.725147
-3,15,379.778528
-7,19,379.84103
5,16,379.910044
11,10,379.941292
1,20,380.010305
5,16,380.0728
4,17,380.12619
9,12,380.179566
1,20,380.24207
14,7,380.273318
2,10,380.31108
9,12,380.342329
10,11,380.395721
12,9,380.426968
8,13,380.47384
10,11,380.511604
4,17,380.574099
8,13,380.611869
11,10,380.658741
8,13,380.696506
10,11,380.743374
6,15,380.796765
7,14,380.843638
-8,20,380.928277
8,13,380.975149
4,17,381.028539
7,14,381.081921
2,19,381.144423
5,16,381.197812
10,11,381.244684
9,12,381.282442
4,17,381.344947
-2,14,381.398335
2,19,381.460834
6,15,381.514222
-2,23,381.59886
8,13,381.645731
4,17,381.699115
8,13,381.745987
7,14,381.799374
8,13,381.846248
4,17,381.899639
12,9,381.930885
7,14,381.984267
-1,13,382.031147
3,18,382.100159
9,12,382.147031
8,13,382.184789
4,17,382.262919
9,12,382.300682
8,13,382.363178
11,10,382.400944
14,7,382.416565
9,12,382.48557
4,17,382.548078
4,17,382.617091
5,16,382.663963
8,13,382.717354
13,8,382.748605
8,13,382.801991
11,10,382.833241
7,14,382.902258
10,11,382.933507
4,17,382.986886
-3,15,383.049391
4,17,383.118406
3,18,383.187413
9,12,383.234293
6,15,383.287674
10,11,383.318928
12,9,383.365801
4,17,383.419194
9,12,383.466067
6,15,383.519453
8,13,383.566325
4,17,383.635335
8,13,383.68872
8,13,383.751227
4,17,383.820242
9,12,383.86711
7,14,383.9205
8,13,383.967373
9,12,384.00514
5,16,384.067636
10,11,384.105402
4,17,384.167901
-1,13,384.205663
8,13,384.252536
3,18,384.321554
8,13,384.368423
2,19,384.453068
7,14,384.506456
0,21,384.584572
8,13,384.622333
12,9,384.65358
11,10,384.706969
10,11,384.738216
8,13,384.791595
10,11,384.822853
4,17,384.891851
9,12,384.93873
7,14,384.992112
7,14,385.054617
10,11,385.092374
7,14,385.139257
4,17,385.208269
8,13,385.255142
11,10,385.286389
5,16,385.339778
8,13,385.393162
0,21,385.455664
8,13,385.509058
9,12,385.540307
11,10,385.587179
5,16,385.640571
8,13,385.693954
2,19,385.756459
8,13,385.809848
3,18,385.872345
12,9,385.913273
11,10,385.960158
8,13,386.014068
8,13,386.060946
-6,18,386.125959
10,11,386.157207
7,14,386.210596
6,15,386.273093
10,11,386.310864
10,11,386.373361
15,6,386.395494
11,10,386.458
9,12,386.542645
7,14,386.627298
5,16,386.738762
9,12,386.807461
5,16,386.90045
5,16,386.999466
-5,17,387.071025
8,13,387.133527
5,16,387.186922
14,7,387.21817
9,12,387.271564
12,9,387.302812
5,16,387.356202
7,14,387.403073
6,15,387.456463
7,14,387.503335
8,13,387.556729
4,17,387.641365
5,16,387.703869
8,13,387.741627
8,13,387.788507
5,16,387.841938
-1,22,387.942204
8,13,387.989084
8,13,388.042464
7,14,388.089342
11,10,388.120589
9,12,388.173982
14,7,388.189607
10,11,388.242986
9,12,388.289869
13,8,388.321116
8,13,388.374504
9,12,388.421375
11,10,388.459148
10,11,388.506021
10,11,388.543783
-9,21,388.62191
2,19,388.690923
2,19,388.75993
8,13,388.809326
7,14,388.860214
9,12,388.891462
12,9,388.922709
8,13,388.976099
11,10,389.02297
10,11,389.060735
7,14,389.107612
2,19,389.17662
6,15,389.239119
7,14,389.292508
6,15,389.345887
4,17,389.392767
9,12,389.446149
7,14,389.493033
-1,22,389.577668
6,15,389.634185
11,10,389.668918
9,12,389.715794
8,13,389.762661
9,12,389.793908
10,11,389.847289
10,11,389.878544
10,11,389.925416
4,17,389.9788
4,17,390.047807
5,16,390.125936
14,7,390.148069
6,15,390.194952
11,10,390.226196
10,11,390.279586
6,15,390.32646
12,9,390.364228
8,13,390.411095
7,14,390.464484
8,13,390.495735
6,15,390.564741
9,12,390.595989
14,7,390.627237
4,17,390.696264
3,18,390.749641
13,8,390.780896
7,14,390.827769
6,15,390.881156
2,19,390.95016
12,9,390.99704
7,14,391.066062
11,10,391.112931
3,18,391.19758
4,17,391.266584
4,17,391.329083
-5,17,391.38247
-3,15,391.444964
8,13,391.482735
3,18,391.551736
9,12,391.598617
9,12,391.645486
2,19,391.714498
6,15,391.767884
8,13,391.814756
7,14,391.86815
8,13,391.91502
7,14,391.968413
6,15,392.03091
10,11,392.08431
7,14,392.153314
8,13,392.200197
3,18,392.284838
8,13,392.353842
7,14,392.41635
6,15,392.48536
7,14,392.547859
3,18,392.632499
-5,17,392.701522
12,9,392.748392
8,13,392.833026
11,10,392.886417
7,14,392.955423
8,13,393.017926
6,15,393.086946
5,16,393.155941
10,11,393.218456
5,16,393.303094
9,12,393.356474
3,18,393.434609
10,11,393.488007
7,14,393.550501
9,12,393.603896
8,13,393.657278
6,15,393.735408
6,15,393.804459
7,14,393.857867
9,12,393.897629
9,12,393.944501
9,12,393.992212
6,15,394.058223
13,8,394.089482
10,11,394.136351
10,11,394.189739
7,14,394.236613
4,17,394.336887
7,14,394.405911
-4,16,394.506177
3,18,394.590818
8,13,394.637688
6,15,394.706702
2,19,394.760081
5,16,394.838208
1,20,394.907226
6,15,394.960611
10,11,394.991872
6,15,395.054367
5,16,395.107753
6,15,395.16113
10,11,395.208007
4,17,395.261394
9,12,395.308278
-5,17,395.377331
10,11,395.408582
8,13,395.461955
6,15,395.524459
6,15,395.577846
14,7,395.609094
2,19,395.67788
5,16,395.740375
-4,16,395.793769
15,6,395.825017
6,15,395.878409
4,17,395.940901
6,15,395.994299
7,14,396.041164
11,10,396.078927
-8,20,396.157048
5,16,396.210436
11,10,396.241691
-3,15,396.295087
15,6,396.326333
8,13,396.364092
10,11,396.410973
8,13,396.457843
10,11,396.511248
10,11,396.580245
6,15,396.642741
7,14,396.722116
5,16,396.780523
10,11,396.839973
5,16,396.911997
5,16,396.981012
9,12,397.043507
6,15,397.112526
4,17,397.197163
-4,16,397.266166
8,13,397.328672
6,15,397.413311
10,11,397.466692
9,12,397.513572
2,19,397.613844
10,11,397.667227
-3,15,397.745355
11,10,397.783122
6,15,397.867359
14,7,397.882992
8,13,397.967635
10,11,398.014517
6,15,398.083533
7,14,398.13041
4,17,398.19942
10,11,398.230671
5,16,398.28406
6,15,398.346555
13,8,398.368688
12,9,398.399943
7,14,398.462438
6,15,398.515828
9,12,398.5627
8,13,398.600468
2,19,398.669472
5,16,398.731976
-2,14,398.785366
10,11,398.816616
3,18,398.885627
10,11,398.916874
13,8,398.970261
9,12,399.017155
5,16,399.070532
10,11,399.117414
9,12,399.164285
4,17,399.217677
